FranchiseId	FranchiseSeasonId	Slug	Abbreviation	ColorCodeHex	ColorCodeAltHex
83e6babd-4b71-310e-ff32-a60385513a9c	a9ae0daf-e3d9-dcb9-e757-5aab488718a9	eastern-michigan-eagles	EMU	00331b	f0f0f0
b38c1f13-3f88-8307-5217-3ac056f5921e	167a7842-ef7b-c3d0-2069-5affc180e59a	eastern-new-mexico-greyhounds	EAS	000000	NULL
f612ac5d-515a-b9b0-38e1-08d6b9c9f876	86f40f2b-19d4-c060-1a90-dce8322d828a	eastern-oregon	EOR	ffffff	NULL
9b207ef8-cbf9-59ec-fd29-777453a9d92a	67b8c569-97b2-d2f3-5c74-bdb6b5ef4b7d	eastern-university-eagles	EASTE	ffffff	NULL
aa948179-eb60-10f4-73f3-b468d86ae97f	d6461fc8-185f-6bb7-0df6-e63114592def	eastern-washington-eagles	EWU	a10022	abb4bc
cf49e714-16d6-76e0-427f-042eeb0b3a5f	4a747b45-9043-b2a3-f676-ae6a619b78a6	east-tennessee-state-buccaneers	ETSU	002d61	ffc423
b746e1b7-45bf-e70d-9829-aef62191a731	47f5de14-486d-5e46-0d5c-277a3e9cf110	east-texas-am-lions	ETAM	000000	NULL
271571ba-bd56-8c3e-9fe5-cd7df2245e85	9706f8d9-f4a5-69e2-0683-7cb553059f33	edward-waters-tigers	EAU	ffffff	NULL
6c87fa46-71bf-30f4-1143-7a42a6d1347b	dec7a2b8-74bf-a64c-68a1-4725583c7db6	elizabeth-city-state-vikings	ELIZ	000000	NULL
81c1f4b0-066f-2b43-8d14-6cafbbb3eec0	e9f284b8-60bd-aaa9-a4a0-b640f8845a4f	elmhurst-bluejays	ELM	000000	NULL
890fc09d-a8e6-4913-8dce-e1746a5b8da1	f5407407-bb54-1d84-886c-1df6c232cd04	elon-phoenix	ELON	020303	b59a57
a38b0a1b-4d03-aff8-8137-c614d2110b6e	d06b26a1-afb5-36c9-c6cb-6347f18e6426	emory-henry-college-wasps	EMO	1e376d	daad27
f8d4e573-7136-7d71-d0d4-385067e8f348	5d35f79e-9791-a1f0-d8cd-e36437179995	endicott-college-gulls	END	000000	NULL
f8f1ac78-7cec-0e0f-7cee-53959ede4fad	22abec1e-977d-7417-bd2b-67802f925a7a	erskine-flying-fleet	ERS	000000	NULL
6f9cd050-fca9-8991-3e5d-feead9c22584	43fa21c4-c9a0-7842-b2ce-cb1c5236f7ac	eureka-college-red-devils	EUR	960a2c	c09a05
773d31a0-ab4d-479d-cdb2-833d1f6683eb	990163c3-6a12-ce5c-0804-8266044ec99f	fairmont-state-falcons	FAI	000000	NULL
8d2a61a1-8eab-0a16-360c-4994023b6ccb	f0ce228c-189d-ea4a-239a-a577343ac889	fayetteville-state-broncos	FAY	000000	NULL
3625b755-e2b8-138a-f9ff-199bc373ca05	2d01db63-1bee-10d2-e910-f7d1b9922585	fdu-florham-devils	FDU	003f87	a32638
9400160a-7789-ac38-3b1b-c61ba934a167	176cc3d7-cd46-0435-188a-16ff3ff72c5b	ferris-state-bulldogs	FRST	000000	NULL
4869fe47-5e4e-c7d9-4d49-3d8854587b0b	37801b6b-1c4d-e376-f252-d70c7d81b713	ferrum-panthers	FER	000000	c0a656
5f4cce15-d9bc-d54b-8c53-f76d58b3f18b	fdc16763-c7ce-7752-6391-4b16fca68b49	findlay-oilers	FIN	000000	NULL
8734ec6b-33c1-8205-8bc8-b2104d26465b	9ce06fe0-05ec-2593-162e-83b04d1b6e52	fitchburg-state-falcons	FIT	024d36	fbbf16
843e7754-7636-6a66-7bfa-db2cd7d56d2d	62534948-4d89-2831-34a4-9541295c6097	florida-am-rattlers	FAMU	F89728	00843d
cc92c8f2-651d-5948-9736-fb6bf52c8e9f	b2ecc933-55ef-2fb2-e2e6-371ef5306107	florida-atlantic-owls	FAU	00447c	d31245
6237f249-8bad-6eaa-7363-961106eae073	06f4ca69-91d8-bbeb-cf41-8fc5440de97c	florida-gators	FLA	0021a5	fa4616
ac8addb2-0ed0-d084-8077-82c14e03356a	fb3276a3-84e9-b1ed-f860-dd339c9d5074	florida-international-panthers	FIU	001538	c5960c
1ed410fc-edf4-fd6c-d796-51020f0455dd	0dcc5b90-a294-09ab-7274-816333833f42	florida-memorial-university-lions	FLMRL	ffffff	NULL
7591b307-dcc0-5706-131d-f3a2a83bbfcc	97645895-9ccc-0661-2507-173aa6deceb9	florida-state-seminoles	FSU	782f40	ceb888
